PWM,Red,Yellow,Green,Blue
52,245.86382393397525,249.16504854368932,241.4171195652174,249.31586021505376
53,240.59863945578232,239.02880658436214,245.71447902571043,247.34417344173443
54,255.4189189189189,253.1756569847856,247.1818181818182,256.36253369272237
55,241.7425068119891,243.45663956639567,255.4116828929068,261.66758620689654
56,251.23324396782843,245.32793522267207,246.4483695652174,245.22465753424657
57,243.92798913043478,251.2147838214784,252.00413223140495,254.1696551724138
58,239.3269493844049,244.8743093922652,248.81793103448277,249.97006802721089
59,243.47826086956522,256.1457765667575,250.39945652173913,248.96836313617607
60,245.0265604249668,239.9668508287293,239.98888888888888,256.3174386920981
61,253.23259052924791,235.34349030470915,254.74337517433753,247.00940860215053
62,250.66398929049532,247.82152588555857,245.29331514324693,247.1872399445215
63,250.95277777777778,260.3022284122563,251.0190735694823,245.33016304347825
64,249.5260989010989,244.42916666666667,245.16504854368932,260.2849315068493
65,245.25714285714287,253.3542538354254,236.37066666666666,236.4368131868132
66,242.4412955465587,248.98002663115847,239.36935704514363,248.818431911967
67,255.85281980742778,236.1902834008097,239.33643617021278,250.3134535367545
68,245.3360544217687,247.23252688172042,248.80161943319837,253.925068119891
69,247.31636863823934,241.38482384823848,244.7263888888889,243.75277777777777
70,241.36486486486487,254.24246575342465,247.03713892709766,243.95416666666668
71,252.44021024967148,262.2801082543978,250.60319573901464,253.37841530054644
72,255.19973368841545,243.81351351351353,256.3664429530201,249.42445054945054
73,254.67620286085827,246.50346740638003,252.19198895027625,247.11416781292985
74,252.34152652005176,250.66576086956522,245.31029810298102,250.81951871657753
75,261.89507772020727,248.65749656121045,249.54269972451792,245.49931412894375
76,250.91478029294274,240.10626702997274,251.38912133891213,244.24862637362637
77,244.5608755129959,254.86979166666666,254.22826086956522,246.922024623803
78,245.81720430107526,256.0420054200542,259.14666666666665,250.29160935350757
79,253.606512890095,255.62637362637363,252.74380165289256,240.51714677640604
80,249.1680216802168,247.34746922024624,255.7337837837838,238.77731673582295
81,253.1443433029909,246.85635359116023,251.04986149584488,258.1067961165049
82,255.88516129032257,249.41054091539527,241.02945301542778,241.0280112044818
83,244.8227684346701,239.2982456140351,257.599173553719,239.87862068965518
84,246.43163538873995,249.97537619699042,238.94101508916324,242.0594744121715
85,244.28724832214766,247.54732510288065,251.55047106325708,261.5869565217391
86,242.40835579514825,248.37396121883657,248.82644628099175,251.21148459383753
87,244.95394736842104,247.05745554035568,252.8388429752066,250.83194444444445
88,251.3671562082777,257.94650205761315,248.53929539295393,245.78961748633878
89,254.49120433017592,248.80405405405406,253.40529247910862,257.2262569832402
90,246.62092391304347,247.6514745308311,243.70331125827815,254.7783783783784
91,247.25981055480378,243.5768707482993,249.45850340136053,251.6204081632653
92,247.619812583668,247.72627235213204,254.15694444444443,257.9258760107817
93,247.5224867724868,243.65027322404373,250.29274965800275,252.15586206896552
94,234.1888586956522,253.6008230452675,240.40740740740742,248.56190476190477
95,243.00384615384615,259.95104895104896,256.2348066298343,247.95923913043478
96,256.01458885941645,246.60743801652893,246.0162162162162,252.28493894165535
97,256.44179894179894,249.90946502057614,245.66575716234652,242.66438356164383
98,246.85180412371133,241.2095238095238,246.4890410958904,251.76438356164383
99,248.4320203303685,250.32428765264586,250.61570247933884,252.70292887029288
100,247.8761408083442,239.11336032388664,241.90227576974564,254.85790172642763
101,249.28297055057618,246.15883977900552,248.0676589986468,246.90958164642376
102,262.97097625329815,248.19758064516128,248.625,243.96949602122015
103,258.725786163522,246.65699208443272,248.7750677506775,255.0562248995984
104,249.53846153846155,250.37101063829786,255.25346260387812,250.7012278308322
105,250.6451612903226,244.11772486772486,247.84877384196184,248.31756756756758
106,243.88021534320322,250.31635388739946,244.30254350736277,250.96032831737347
107,245.95526315789473,249.4149377593361,248.60493827160494,245.15468113975578
108,240.35354838709677,241.0529172320217,252.92349726775956,250.968
109,255.4570673712021,243.9141689373297,244.8375,248.53887399463807
110,249.1083550913838,245.8494623655914,251.94853963838665,251.21052631578948
111,254.44444444444446,261.0854816824966,245.13101604278074,251.20108695652175
112,246.52862849533955,257.4739726027397,254.94926568758345,251.05442176870747
113,245.21171770972038,260.70204081632653,249.43472409152085,249.96301188903567
114,241.8018372703412,246.09078771695593,244.6089918256131,250.7715404699739
115,257.5032509752926,254.37741046831957,255.71603260869566,251.1195219123506
116,243.0,255.03693931398416,250.34877734877736,242.63368983957218
117,248.4660691421255,257.78767123287673,252.14343163538874,252.78947368421052
118,255.16532258064515,244.23162274618585,253.95736434108528,249.7669376693767
119,241.71683673469389,259.5108695652174,241.83311081441923,250.31165311653118
120,244.81056701030928,246.20576131687244,245.35781041388518,243.74628879892038
121,253.06143790849674,239.1578947368421,238.45778364116094,243.74048913043478
122,242.26889714993806,256.2530446549391,253.8191632928475,242.8360655737705
123,259.21907216494844,261.72328767123287,241.1093117408907,248.00807537012113
124,250.49808429118775,254.8815612382234,242.53191489361703,254.16554508748317
125,240.84375,250.18367346938774,254.6617050067659,251.09308510638297
126,239.1148825065274,249.48060941828254,243.23046357615894,256.0190476190476
127,245.95883134130145,257.06412005457025,255.18231292517007,244.2125340599455
128,247.12140175219025,249.48467966573816,257.15384615384613,248.52845528455285
129,250.77461139896374,257.16620111731845,250.71750663129973,245.6639455782313
130,246.766318537859,261.75069637883007,252.596,253.0013966480447
131,255.08706786171575,264.8235294117647,250.0215053763441,255.1576763485477
132,251.044814340589,246.91340782122904,248.87582562747687,249.47606019151846
133,253.5040650406504,248.15127175368139,245.83311603650586,252.2409972299169
134,243.7637997432606,259.5941828254848,251.66666666666666,252.66941015089162
135,254.74125,248.33420707732634,252.49251700680273,256.35286284953395
136,254.80774365821094,253.40625,255.3877551020408,244.55761589403974
137,256.2877604166667,247.38328912466844,249.94181326116373,248.35230352303523
138,247.0880758807588,251.81805745554036,239.43626806833115,243.8372093023256
139,246.1923583662714,246.7911051212938,245.19528178243775,251.44444444444446
140,252.78968253968253,245.89222373806277,236.89171122994654,252.7755376344086
141,246.43381389252949,247.4331983805668,250.15994623655914,257.92972972972973
142,255.16601307189543,260.26684636118597,244.91376912378303,241.044
143,248.31496062992127,256.9960106382979,252.17838541666666,244.89459815546772
144,247.53305785123968,252.37602179836512,246.56601466992666,247.5648854961832
145,258.19532324621736,251.54002713704207,238.114956736712,244.97989949748742
146,255.5,246.8709677419355,249.03345280764637,245.43780487804878
147,249.44398907103826,247.90344827586208,249.41502463054186,259.6096654275093
148,249.3546195652174,248.39944134078212,246.79902557856272,254.84769038701623
149,248.41970310391363,251.92515337423313,247.57,246.58395989974937
150,246.37431693989072,252.94103194103195,250.3415536374846,244.72715572715572
151,255.80248618784532,251.07625,248.64611590628854,253.8793324775353
152,243.57608695652175,258.3732484076433,247.92478421701603,245.6075
153,253.6168582375479,251.010296010296,246.49376558603493,251.23337515683815
154,250.95219123505976,248.68588957055215,251.79490291262135,250.14878048780488
155,254.42225201072387,250.42375,245.6289156626506,249.45432399512788
156,248.4024064171123,240.14534161490684,244.74296205630355,247.63333333333333
157,253.48365122615803,248.20880503144653,254.62905162064826,241.1788931788932
158,250.04287690179805,260.09850374064837,253.73736128236746,246.0773067331671
159,249.93972602739726,244.6071871127633,248.97313797313797,247.07848101265822
160,253.70523415977962,249.64799025578563,244.4007585335019,247.01635220125786
161,248.21208053691277,249.54064039408868,249.51002506265664,252.3253768844221
162,246.06019151846786,250.79225806451612,256.14123581336696,249.8688725490196
163,254.88324175824175,251.2997448979592,250.97153465346534,251.2669082125604
164,246.66712141882675,247.08104738154614,245.0939024390244,255.3269720101781
165,248.06830601092895,246.97267080745343,248.0343137254902,249.40937896070977
166,245.9157458563536,255.82219419924337,252.30193236714976,253.36175710594316
167,250.20694259012015,252.67816091954023,257.6432098765432,250.76903553299493
168,252.58243243243243,251.87301587301587,253.45030674846626,255.30214917825538
169,249.8346994535519,255.45729303547964,253.86961869618696,248.628532974428
170,247.52981029810297,242.80532212885154,257.1278195488722,246.40558510638297
171,249.16366158113732,263.24643874643874,257.3753315649867,246.61456953642383
172,251.76592797783934,251.06741573033707,247.94364351245085,245.14839572192514
173,252.11459754433832,261.10372340425533,250.95148247978437,251.98418972332016
174,245.11756569847856,239.66666666666666,247.4896373056995,250.21117166212534
175,246.97256515775035,249.87186629526462,245.13119143239626,246.24500665778962
176,260.07848443843034,245.4591280653951,249.2258064516129,250.02159244264507
177,249.5068493150685,249.76901798063625,255.7542932628798,253.0151098901099
178,254.83218707015132,250.32152588555857,248.75821287779237,247.55925432756325
179,246.62482946793997,247.25890410958905,251.30078125,249.62922868741543
180,244.6255033557047,253.00710227272728,256.03820816864294,246.8361111111111
181,249.90392422192153,243.6943661971831,251.59543010752688,254.49585635359117
182,244.41049798115748,235.56005398110662,250.8842530282638,246.68351063829786
183,257.2520547945206,250.6246537396122,247.52031454783747,240.11655629139074
184,246.19918144611188,252.95429362880887,252.0785619174434,250.10326086956522
185,253.76734693877552,252.0376044568245,254.8468708388815,253.18342391304347
186,243.07172413793103,259.19867549668874,250.40136054421768,259.789764868603
187,245.63762102351313,245.39924906132666,243.7019867549669,256.08051948051946
188,253.33886583679114,263.95524296675194,241.6723716381418,247.26104417670683
189,250.07046070460706,244.15601023017902,242.72830188679245,243.20798898071627
190,251.3515731874145,259.38432835820896,239.79827798277984,256.68689655172415
191,250.61845730027548,246.27443609022558,252.81345177664974,249.27967257844475
192,248.75962815405046,251.34760705289673,250.2953642384106,249.43707713125846
193,245.8491847826087,248.0633971291866,250.09891598915988,249.25970548862117
194,249.2153635116598,251.8468137254902,247.79427083333334,247.8756906077348
195,256.25784447476127,257.915923566879,241.45182291666666,243.71251719394772
196,247.91339648173206,251.00251889168766,245.3953804347826,256.56445047489825
197,252.59139784946237,246.3138957816377,248.9287598944591,250.82758620689654
198,240.74932975871315,252.59147180192574,247.18929503916448,246.15603799185888
199,255.0733695652174,247.0745856353591,245.54448871181938,253.20275862068965
200,248.92032967032966,244.35754189944134,255.06139154160982,253.85558583106268
201,252.6626180836707,246.00275862068966,252.00133868808567,251.53288590604026
202,249.40374331550802,252.07387140902873,247.7372654155496,249.31978319783198
203,250.93815789473683,251.74313186813185,241.0506329113924,247.33013698630137
204,249.13186813186815,255.16326530612244,247.03276539973788,243.7669376693767
205,249.8716216216216,253.1584852734923,248.5047233468286,253.16531165311653
206,249.4692513368984,252.17265193370164,249.2860962566845,260.31614654002715
207,246.32920110192836,246.00947225981056,245.74236387782204,244.14697802197801
208,258.5983493810179,249.03247631935048,254.07230559345157,255.80053908355796
209,244.3278463648834,239.17876344086022,248.71774193548387,247.4314789687924
210,242.76788124156545,247.69086021505376,245.57237715803453,244.89945652173913
211,258.857908847185,251.4436906377205,254.1745602165088,251.5206043956044
212,255.3373015873016,249.26886145404663,252.78091397849462,248.6032831737346
213,247.57472826086956,252.95314591700134,249.62332439678283,248.28551724137932
214,248.60887096774192,251.55177111716623,239.8617886178862,252.31894150417827
215,260.61924119241195,248.1258644536653,249.57064471879286,239.186301369863
216,252.04583333333332,252.06901217861974,258.53066666666666,249.45116918844568
217,246.36237897648687,257.9489932885906,261.8239339752407,252.45293315143246
218,248.70571827057182,249.7047619047619,246.76101468624833,257.9240331491713
219,247.1986577181208,254.70055710306406,253.58854166666666,249.09413369713505
220,250.20839160839162,251.3429355281207,260.41789052069424,248.7129120879121
221,241.58068965517242,244.2117812061711,243.09241379310345,250.76964047936085
222,251.3550135501355,244.5850622406639,248.6850605652759,242.7192254495159
223,255.9416445623342,253.61141304347825,258.5402906208719,254.79918588873812
224,250.49457994579944,243.3240997229917,252.53229974160206,251.3794520547945
225,241.18244170096023,247.27945205479452,248.54655870445345,253.93141289437585
226,250.3278463648834,253.18487394957984,254.92410119840213,250.1164658634538
227,249.94062078272606,242.1012482662968,250.52855245683932,247.7028885832187
228,250.72427983539094,246.8127600554785,254.61684782608697,247.5723951285521
229,253.72664835164835,242.74393530997304,254.16798941798942,245.83711615487317
230,240.33151432469305,246.72301136363637,248.11263736263737,249.85281980742778
231,248.55302013422818,246.44736842105263,241.83150684931508,245.08943089430895
232,250.03009575923392,252.61777150916785,248.22764227642276,257.3878954607978
233,249.37399463806972,249.56521739130434,252.68571428571428,256.6957708049113
234,244.81117021276594,254.92193808882908,256.1691078561918,252.232782369146
235,241.3428961748634,248.89361702127658,238.6566757493188,252.42344827586206
236,237.13368983957218,239.03616133518776,236.44489795918366,249.6060191518468
237,250.08409986859397,244.693657219973,238.7554347826087,247.54732510288065
238,251.6029609690444,249.58252427184465,258.33652530779756,242.97357992073975
239,246.8739726027397,257.51972789115644,241.51153324287654,252.0511049723757
240,249.38359788359787,255.38024357239513,251.67876344086022,241.16575342465754
241,241.7037037037037,249.11819389110227,248.40680272108844,255.11605937921726
242,247.8488529014845,253.66990291262135,252.22088353413653,252.57596685082873
243,247.10013351134847,251.27358490566039,255.5268817204301,245.5752688172043
244,255.88027210884354,250.31600547195623,247.5915300546448,256.3468834688347
245,250.6506189821183,261.09695290858724,254.87019867549668,251.75745257452576
246,250.89039242219215,247.12367021276594,245.6181575433912,247.73154362416108
247,247.45794392523365,256.56091030789827,249.87154696132598,249.23045822102426
248,242.5137741046832,253.90516039051604,241.9663526244953,254.78833107191315
249,253.86909581646424,249.4034852546917,251.2975871313673,249.42513368983958
250,251.29010695187165,249.1621983914209,256.7806539509537,248.37655172413793
251,242.12637362637363,258.05779569892474,257.4464043419267,255.90233837689132
252,246.49255751014886,256.48097826086956,251.6592977893368,251.1861413043478
253,237.29218106995884,255.66486486486485,258.5191040843215,248.7465940054496
254,247.9591836734694,249.06684856753068,248.29419525065964,241.9811320754717
255,242.11757105943153,258.0538358008075,247.39319727891157,248.9873417721519
